id,geom,Unemployment Rate,Employment Rate,Family Identity Card,Death Rate,Migration,Registered Residents,Health Facilities,Mortality,Water Access,Internet Access,Electricity Access,Income per Capita,Population,Birth Rate,Households,School Enrollment,People Density,Average Age,Vehicle Ownership,Literacy Rate
9124,POINT (112.261003 -2.443955),1.2,79.05,300343,98.26,66.22,471519,288357,63.43,7.93,96.36,55.84,9664489,766155,33.31,838032,2.85,13075,46,4,6.26
9125,POINT (138.731847 -4.571763),56.82,84.93,375580,34.38,24.27,759787,634273,25.79,36.41,44.84,64.65,6186538,823775,68.46,410847,27.99,24880,20,2,2.96
9126,POINT (103.446144 -1.872181),70.63,50.79,411753,45.27,61.62,850361,870887,31.85,9.39,6.27,56.96,6667377,106639,64.18,380836,10.05,4287,66,0,83.77
9127,POINT (132.283430 -1.669084),57.94,44.29,998212,82.99,50.18,516458,153012,32.05,27.2,67.96,25.21,8922980,616061,81.23,264264,49.15,4237,64,4,61.15
9128,POINT (115.025728 -3.715066),26.48,46.09,326798,37.57,30.11,576129,987626,60.39,99.51,18.17,50.4,12856362,138719,30.72,205569,3.33,18284,33,1,4.41
9129,POINT (97.716813 2.929719),66.84,67.12,582421,46.62,5.7,775969,960533,91.15,12.67,70.63,65.6,13812197,551486,10.24,692459,37.93,9289,56,3,97.18
9130,POINT (113.365656 -2.398152),70.04,86.74,333555,99.89,31.44,55117,327354,90.03,3.64,71.46,19.93,12001689,225669,12.31,266575,25.29,18056,46,4,50.88
9131,POINT (139.526610 -4.241226),89.67,38.68,412978,67.42,8.84,144976,525357,50.97,96.41,23.9,89.92,14345122,896495,69.1,871700,44.3,3223,75,2,62.14
9132,POINT (131.749640 -0.915244),43.96,10.01,341176,88.17,50.76,39279,892390,6.66,97.04,73.13,66.97,3188013,799066,59.69,991845,30.83,23993,47,1,72.9
9133,POINT (139.496332 -4.639459),16.66,61.12,867775,23.76,81.11,482812,575408,31.81,86.56,7.1,19.89,3834366,565064,38.69,581612,8.33,5583,26,0,23.88
9134,POINT (129.807299 -3.111968),16.82,14.71,899721,16.79,85.91,947563,255302,13.46,66.08,14.76,82.87,10197696,561648,25.62,146928,53.75,2296,45,2,64.04
9135,POINT (105.007259 -4.628925),87.52,5.89,428610,59.65,95.05,567152,672061,14.04,81.86,35.9,1.4,8832913,66644,6.04,583996,24.48,12044,41,1,12.72
9136,POINT (132.377449 -1.711374),24.76,70.11,279191,20.33,64.96,940878,973877,90.23,67.49,86.26,13.21,10970393,371217,66.18,675561,22.31,10940,56,4,40.85
9137,POINT (107.401955 -7.318065),29.18,49.99,689464,23.12,80.34,162530,817561,37.93,51.31,33.69,79.96,6185773,719554,12.11,143827,68.46,11621,25,2,55.23
9138,POINT (119.924934 -9.703116),2.31,36.35,402832,32.97,27.56,334636,515049,26.47,69.94,7.57,47.32,14370117,632490,86.56,197074,87.86,3579,69,2,19.8
9139,POINT (139.807326 -8.104778),22.28,36.75,58313,82.42,69.62,96029,368798,78.77,31.85,32.23,46.52,10484772,197602,60.74,906979,39.81,5639,21,0,98.58
9140,POINT (136.498680 -3.328135),17.76,90.73,744856,18.69,89.02,172016,533625,47.49,30.47,60.83,97.06,4264495,92591,10.9,273603,43.12,20445,37,0,34.5
9141,POINT (96.963647 4.246823),0.69,18.31,721528,64.22,28.84,589296,353988,54.09,23.15,54.73,48.08,12279597,519825,61.03,384196,77.12,13657,60,2,70.83
9142,POINT (100.292715 0.620785),21.93,62.33,837970,42.33,25.61,290133,195677,90.3,3.73,33.41,54.52,8521401,63123,12.79,516861,30.22,19026,53,0,14.58
9143,POINT (139.357978 -2.536983),47.84,82.13,581652,38.26,24.19,366351,534672,39.74,25.91,69.24,41.66,10448542,233717,99.7,65387,84.24,14300,50,0,59.56
9144,POINT (138.733252 -7.624028),74.03,10.52,422302,7.92,50.01,525500,411362,63.26,99.46,7.5,40.93,13993667,552613,42.34,61605,81.39,11493,75,4,91.07
9145,POINT (103.252869 -3.202493),66.62,73.94,906216,61.06,45.52,593876,549055,83.78,66.88,36.01,23.89,5547123,978591,80.4,492998,53.85,9885,25,5,92.26
9146,POINT (100.326153 1.144469),85.68,88.1,650681,82.04,97.77,461753,84576,84.56,95.77,45.78,8.47,3467789,922098,37.22,416026,81.93,6821,57,2,31.05
9147,POINT (140.624984 -5.720858),80.28,22.69,861046,3.16,38.02,823647,481939,20.68,33.48,5.49,20.47,7237717,906468,32.06,788272,26.18,2178,53,3,16.83
9148,POINT (101.593320 0.690238),58.62,33.61,201813,72.31,20.09,427483,659227,6.84,20.16,42.6,54.73,1927725,98136,52.94,820901,49.01,19514,61,1,85.55
9149,POINT (137.107850 -2.370193),57.48,23.33,262264,50.21,44.03,994307,211272,98.48,65.89,30.03,38.55,6616631,901755,8.21,469994,61.57,11908,79,1,79.06
9150,POINT (116.911779 -8.901326),19.85,30.44,112408,6.96,24.38,542670,324102,10.89,47.31,63.67,36.17,3459446,721893,20.27,608818,59.86,22039,78,5,65.49
9151,POINT (99.088234 3.261200),88.01,86.29,592197,87.61,41.85,302128,779770,95.36,38.19,86.24,23.4,11643468,262510,25.01,748840,32.32,10537,40,3,30.12
9152,POINT (106.995891 -6.438301),37.81,10.2,779369,15.62,79.13,885138,290510,26.04,99.81,7.47,88.46,10337387,563231,15.88,401689,47.17,15870,51,2,73.97
9153,POINT (115.285893 -1.323625),46.15,13.86,256329,22.91,27.63,319104,275796,78.7,8.76,31.75,82.1,14122356,53625,92.29,400138,44.28,6344,63,3,54.29
9154,POINT (140.257286 -4.217397),30.96,2.89,892397,7.03,82.61,370045,958959,92.28,86.85,47.57,31.7,12034434,815119,83.2,413307,88.64,2592,35,5,72.78
9155,POINT (107.020489 -6.106240),21.13,37.97,439481,49.08,34.64,693064,238716,34.09,9.54,79.05,4.23,11782622,585572,1.16,814126,91.62,21766,58,3,11.65
9156,POINT (140.794933 -8.293452),27.96,55.62,380849,60.41,80.63,966290,243112,53.32,8.83,35.46,58.01,7984608,289652,39.23,102014,58.97,21360,49,3,30.83
9157,POINT (116.119568 1.760391),3.87,98.76,430014,25.24,21.87,871693,751266,20.7,17.93,28.42,23.51,6809013,212736,46.35,35774,14.33,19875,23,1,63.91
9158,POINT (139.672663 -2.593825),63.11,30.35,261021,75.76,82.15,2241,919407,56.44,68.82,43.0,57.93,12945492,845883,6.91,207755,71.16,11906,62,0,49.61
9159,POINT (97.510526 3.675835),46.29,18.31,416540,60.34,42.84,569274,508255,66.46,79.87,60.65,51.63,2083430,595510,85.68,740352,40.8,5903,73,0,93.42
9160,POINT (96.006396 5.341620),97.96,75.4,797740,61.1,66.09,863538,882840,70.96,87.78,85.68,0.22,5303861,163624,55.37,265914,17.74,20117,36,2,91.66
9161,POINT (115.510354 -2.253140),48.91,77.42,403045,9.0,94.17,657477,447735,80.36,93.24,85.07,62.15,1347841,958953,63.7,332543,66.96,17047,78,4,47.65
9162,POINT (102.564915 0.133659),64.66,62.37,527678,90.76,81.41,538132,387739,28.6,34.78,28.87,89.86,14811322,911666,43.15,245811,89.79,11126,74,4,25.79
9163,POINT (135.114498 -3.461742),49.51,99.27,429456,93.12,81.83,487409,725921,6.29,53.26,0.14,59.53,5155182,397426,24.83,296525,21.3,24618,67,0,39.93
9164,POINT (112.328405 -0.659930),76.67,3.89,342638,82.81,74.63,873267,67613,83.9,18.73,67.14,85.99,12864268,640560,85.87,946125,1.94,14057,22,1,31.74
9165,POINT (140.232901 -3.363139),50.56,10.67,887663,27.19,0.01,417898,57713,81.69,8.42,59.02,21.82,12569001,680532,7.1,877151,99.38,21818,72,2,42.74
9166,POINT (109.507030 1.749217),13.5,68.57,548520,82.91,46.96,502527,946425,72.42,56.96,90.57,80.66,14596454,268963,69.39,742507,61.96,3892,73,5,29.07
9167,POINT (98.333841 -0.034744),31.22,25.15,186373,14.71,75.39,947152,929006,14.17,17.91,72.41,0.8,3728694,497248,47.94,165333,72.25,10604,77,4,93.38
9168,POINT (133.580547 -2.852921),30.52,21.6,451955,99.26,96.84,99690,55341,2.09,20.44,34.17,56.29,13518172,704961,6.22,191200,91.32,13228,42,3,3.61
9169,POINT (139.852304 -6.602434),11.17,44.44,82634,44.39,24.62,301548,356441,39.32,80.44,15.52,29.84,13172499,957777,96.95,570413,71.63,4879,29,1,89.37
9170,POINT (130.836072 -0.818709),46.62,7.45,348055,96.46,9.94,79897,593277,25.57,35.13,98.06,38.48,6113238,920174,79.89,227421,18.3,14842,73,2,8.04
9171,POINT (112.880027 -0.807219),85.03,82.17,863798,90.17,43.63,434118,388202,23.57,68.59,47.91,38.8,11964885,983232,30.64,832102,18.87,24889,71,3,36.59
9172,POINT (113.850449 -1.829291),26.61,57.5,828259,95.71,89.54,189061,694978,15.76,93.5,88.82,19.57,12095051,765721,12.55,223527,75.41,16586,24,0,46.56
9173,POINT (120.444603 -2.756330),0.32,52.39,471434,63.41,8.32,270618,371631,98.15,2.74,93.47,53.73,9829489,386046,79.85,30209,73.27,3791,47,1,20.34
9174,POINT (105.666863 -3.099248),18.86,5.63,658303,24.54,76.8,23282,92546,95.37,29.08,85.12,62.65,3924200,980032,14.24,687251,49.24,15953,72,0,81.16
9175,POINT (114.889779 -4.057217),99.59,44.27,643259,13.52,17.83,307620,707213,26.94,50.87,3.62,66.72,6686939,778256,50.54,343148,66.93,17689,61,3,93.92
9176,POINT (115.383001 -0.773683),83.91,27.81,699272,86.67,8.55,112678,379979,10.09,5.6,66.8,71.5,3807461,520949,44.06,836843,97.13,12694,42,4,50.88
9177,POINT (111.318377 -1.107188),44.14,73.48,28350,92.3,7.2,804859,221796,41.01,3.59,67.01,41.01,10848640,975164,24.87,694554,31.76,7935,56,5,47.49
9178,POINT (138.573076 -5.991499),4.84,73.84,137488,41.66,44.44,914435,853339,99.35,50.63,19.43,88.67,1789558,323159,2.94,343591,44.06,12751,33,0,59.89
9179,POINT (121.243645 0.648307),44.65,34.5,3904,52.23,10.56,514882,243625,71.96,27.19,96.38,38.34,8813050,817767,83.92,974114,95.04,2324,41,4,25.53
9180,POINT (96.611688 3.823532),69.39,10.27,172391,23.2,83.32,17654,149963,71.01,53.96,36.05,25.96,13114139,668259,35.65,510283,55.6,2932,24,2,46.07
9181,POINT (106.806978 -6.219782),85.8,76.44,322724,52.09,58.32,731038,805373,54.97,35.23,95.81,22.89,3585355,605319,77.83,761039,81.03,16020,25,2,55.52
9182,POINT (120.010400 -8.793783),73.56,51.5,999247,58.71,25.26,938156,666884,14.72,47.3,31.44,86.26,9795507,99585,76.64,341986,96.69,3131,52,5,52.21
9183,POINT (126.724945 -3.188605),5.32,60.4,998220,51.02,58.74,470114,229901,79.58,77.02,39.25,36.58,13032004,852059,82.32,303934,84.75,9588,77,5,69.45
9184,POINT (140.270315 -5.697126),59.27,22.21,793531,91.5,92.76,173832,763533,35.1,28.34,72.68,70.47,13558271,28505,97.45,109428,34.33,19615,51,2,28.03
9185,POINT (132.688385 -2.177877),1.04,23.86,379597,15.05,98.9,415628,999140,38.5,10.62,73.39,56.72,7125524,604081,22.1,345024,16.2,2208,77,5,70.24
9186,POINT (112.532184 -0.366054),62.9,49.89,492308,93.93,46.27,143159,561418,11.34,33.2,36.7,66.32,13003539,87668,42.37,540106,60.07,11294,24,0,15.88
9187,POINT (138.748290 -6.857312),29.88,96.33,870144,3.46,71.22,63131,646288,23.7,13.94,88.73,90.11,9773404,711113,40.82,596367,63.5,2977,32,4,16.73
9188,POINT (104.561708 -4.996546),19.3,53.18,721697,51.17,85.61,69628,787810,0.03,57.54,3.49,82.2,2754527,986854,90.51,855875,83.12,17350,61,3,67.77
9189,POINT (103.105367 -3.814775),42.99,43.69,708127,48.15,56.77,547652,152344,23.99,44.07,11.9,69.13,4206156,848552,16.64,686825,90.06,3151,39,1,59.18
9190,POINT (103.323691 0.171859),1.29,97.59,571155,47.86,20.75,154004,110525,99.92,18.15,44.03,11.78,12833592,334132,6.35,111188,58.18,15056,37,4,36.94
9191,POINT (126.451247 -7.943813),71.01,65.64,9103,41.77,19.88,406597,657581,46.35,31.56,78.56,63.47,10410476,324785,96.18,155336,94.23,11148,70,5,22.43
9192,POINT (140.843904 -8.125555),61.88,69.33,647484,65.34,9.33,711186,260309,13.15,17.48,3.75,63.57,8866824,264018,72.87,979536,27.8,23818,60,1,44.39
9193,POINT (96.387006 4.118281),99.2,49.7,793870,85.6,39.22,442386,705065,28.73,51.99,88.4,70.76,14820917,956122,10.67,622533,64.3,5577,72,0,75.14
9194,POINT (135.723912 -0.723299),80.79,35.41,574233,53.05,18.59,145559,19810,78.82,76.42,67.11,40.54,2596706,929613,31.63,325456,90.55,20582,37,3,3.15
9195,POINT (140.028039 -4.349576),61.72,5.24,361896,76.29,81.41,972633,61297,57.37,13.02,63.54,83.96,14167072,504959,25.21,548532,68.47,20472,52,3,48.62
9196,POINT (120.018309 -0.604270),26.49,4.5,468062,25.27,49.82,712824,123372,19.66,36.64,20.22,15.5,2292249,643865,15.81,975317,24.97,3977,24,1,29.05
9197,POINT (133.205871 -2.849720),40.69,86.34,262130,25.24,83.96,681201,408779,39.16,2.34,9.39,55.49,6363537,542468,59.06,248735,65.19,5882,44,3,59.97
9198,POINT (135.746034 -3.619820),49.34,33.5,915086,0.77,74.26,606183,374641,89.12,13.1,86.93,78.98,14280591,334597,53.97,238434,57.52,12090,28,0,1.0
9199,POINT (122.313104 -5.339263),9.24,0.4,668091,45.91,70.23,872002,590857,55.13,76.42,30.61,73.49,5318633,693757,54.84,953092,98.66,8893,80,1,88.7
9200,POINT (110.582602 -7.538069),77.61,33.51,569121,49.65,32.41,327502,825065,24.03,84.72,11.28,88.67,5907633,523811,80.88,172066,99.92,10171,59,2,83.46
9201,POINT (130.797789 -3.791861),80.56,40.75,810249,0.86,19.77,431047,542191,35.19,29.85,86.46,65.88,9473773,266937,85.25,160829,12.74,22330,79,2,83.52
9202,POINT (110.255323 -7.900931),70.85,21.23,895194,32.46,85.04,205832,728469,87.19,3.02,42.62,88.06,11129653,837990,10.63,696733,57.14,3444,26,5,25.67
9203,POINT (113.546473 -0.608059),23.13,47.29,329630,0.44,6.51,970819,899270,45.44,44.93,50.7,18.95,12285810,478938,34.1,731450,30.43,16200,58,0,12.87
9204,POINT (139.363306 -7.939454),61.48,61.28,779280,32.29,46.65,192980,367366,3.41,14.8,39.88,87.0,13628790,84443,57.31,938404,27.92,12669,59,1,89.95
9205,POINT (138.976101 -4.412342),30.16,25.98,58133,71.52,94.61,70513,197292,37.73,48.3,26.01,68.97,1911596,628486,27.34,431534,23.43,1752,78,2,99.33
9206,POINT (137.101195 -4.189454),28.91,22.02,22732,0.25,89.01,729675,888973,40.23,47.81,20.58,15.66,10487729,447718,38.32,391547,4.07,21332,53,2,83.03
9207,POINT (98.925489 2.671645),68.3,87.15,160943,68.92,97.46,798178,617686,87.37,39.48,57.38,27.55,10734737,29040,38.17,123856,33.76,21366,43,4,80.66
9208,POINT (133.159559 -0.596298),60.7,71.33,743520,14.95,85.19,411054,709410,47.38,86.31,14.92,35.32,9334212,309289,68.5,170718,51.72,2492,49,0,81.97
9209,POINT (115.888858 -2.374705),37.15,95.47,560553,88.57,32.98,667962,459917,56.43,85.6,53.29,82.44,9849819,645431,42.89,791896,55.67,23130,39,2,86.47
9210,POINT (140.183348 -4.375572),92.27,62.8,495079,3.42,58.01,950958,379890,68.5,24.42,68.75,15.14,1011774,105186,25.78,843021,65.28,24351,21,0,45.71
9211,POINT (107.736001 -6.454997),98.8,51.84,742001,90.63,53.72,137634,620146,8.79,76.9,0.52,21.34,6954574,240677,50.32,236024,49.71,10056,38,4,50.96
9212,POINT (100.358885 1.854147),70.0,97.13,584585,23.89,23.75,443847,365258,40.17,29.43,88.83,48.35,10276342,12050,85.11,842377,32.87,18130,23,3,88.46
9213,POINT (118.889015 -8.347683),92.38,68.13,291140,57.37,58.07,59956,682647,24.49,95.57,18.01,4.35,10661713,230962,52.05,87562,52.22,22497,46,2,18.51
9214,POINT (103.917817 -0.997086),22.58,89.45,851287,19.42,52.15,889166,886383,1.1,49.02,18.0,84.44,8912305,352569,72.58,169426,70.23,12181,31,4,18.74
9215,POINT (137.460571 -3.237194),85.31,72.25,649419,50.71,79.93,803873,563405,80.75,96.29,91.49,37.68,10673763,606931,36.56,372058,40.07,23849,77,0,76.88
9216,POINT (114.189033 0.904193),4.03,79.63,734441,86.8,11.24,378693,373083,5.72,35.11,46.63,57.43,4422833,14097,65.8,583713,62.91,22548,52,1,7.45
9217,POINT (100.421116 -0.860563),26.61,12.21,895660,66.07,10.7,57827,988109,67.42,29.16,31.44,33.2,8754086,674242,43.94,221369,69.0,7242,39,2,63.61
9218,POINT (116.173383 -8.731730),70.61,83.31,936128,94.47,91.3,556950,710854,83.46,3.17,13.11,2.04,10228751,708144,17.46,974478,34.27,3111,78,4,44.67
9219,POINT (115.852989 -1.773351),83.24,80.88,352338,41.09,65.98,935199,674922,24.0,15.36,71.0,78.95,8904154,834831,41.88,936113,8.48,8048,32,2,94.37
9220,POINT (117.632517 1.942536),54.27,41.48,707280,15.25,16.81,698342,570222,20.05,30.06,39.27,71.96,12035095,631186,31.88,455825,41.5,20991,32,5,27.02
9221,POINT (138.413117 -3.247174),92.88,80.67,516959,69.56,0.98,494063,841679,76.88,19.47,10.04,59.13,14815890,523978,6.32,718070,60.06,22976,42,3,89.38
9222,POINT (110.914271 -7.897422),9.62,98.66,58709,53.93,87.47,728899,945439,28.17,9.42,35.36,34.06,4097451,48955,28.7,890348,73.4,11593,33,3,75.96
9223,POINT (120.824443 -2.178447),28.39,4.44,772632,13.64,64.26,508980,564481,95.45,58.03,53.12,14.67,14838339,189649,32.93,581837,96.26,22215,27,3,88.58
9224,POINT (122.245986 -8.677191),21.3,42.47,144153,0.67,91.57,395970,98131,7.73,66.94,4.12,94.07,10294817,720813,34.66,156808,44.73,21419,76,4,48.66
9225,POINT (99.730001 2.794092),38.37,85.53,834145,41.29,63.39,78133,157596,45.78,73.03,5.46,75.64,14324996,90274,61.6,482932,44.7,19589,32,0,2.97
9226,POINT (113.125825 -2.080938),95.74,37.23,623761,26.36,42.08,472378,63166,86.3,43.7,54.26,50.33,11514197,311767,92.1,775469,40.17,11432,23,2,8.36
9227,POINT (140.771455 -8.599277),53.89,74.67,371204,30.29,59.93,167436,328246,37.04,21.97,18.73,34.95,14666200,385543,17.41,753582,97.0,18258,53,0,42.8
9228,POINT (98.465459 -0.173421),28.24,12.19,290197,70.39,13.4,239359,22881,1.83,7.23,94.52,70.13,12350518,75398,74.47,230094,55.94,20069,29,3,22.63
9229,POINT (103.256960 -2.315473),3.22,36.42,224105,42.0,30.88,276059,829011,75.49,75.91,50.46,51.66,1937995,584701,63.98,330861,29.09,17133,41,5,69.53
9230,POINT (132.127640 -2.746207),16.33,72.43,699590,25.71,6.52,701097,760947,87.93,80.72,66.42,33.06,1661541,344184,19.68,232599,88.34,20250,49,0,85.82
9231,POINT (115.699989 0.832007),74.43,5.08,236345,64.92,55.02,36362,297284,38.99,36.62,9.49,97.95,7105107,704097,19.79,296471,71.78,10858,34,3,1.04
9232,POINT (137.133817 -2.551894),29.75,45.4,96541,53.46,69.48,480726,896738,45.79,49.88,48.1,33.59,1851708,769028,56.06,511563,17.32,5076,21,3,13.83
9233,POINT (115.075877 -2.353707),36.17,34.4,644446,59.19,70.28,473654,642035,29.42,26.82,40.22,54.07,1984945,298500,89.78,675804,82.26,3429,20,2,37.21
9234,POINT (116.315123 2.319634),85.33,96.77,854271,71.83,21.23,821517,262551,36.44,82.85,73.81,55.37,5098969,303195,64.54,34474,5.74,15814,45,3,26.83
9235,POINT (121.898090 -2.634801),30.78,17.6,29601,18.47,97.39,4676,953312,35.86,53.06,75.56,76.43,8971723,331371,83.9,496270,77.83,14305,25,5,28.57
9236,POINT (111.828805 -2.504484),25.22,50.9,271940,43.44,80.33,299541,319709,44.61,9.31,75.92,43.55,11073482,177732,86.63,675481,30.74,5690,28,4,78.6
9237,POINT (119.315938 -2.718818),95.91,88.53,998048,15.6,56.96,541165,198657,95.85,23.64,19.08,98.14,14443641,735234,62.05,260156,13.15,8586,54,5,43.37
9238,POINT (126.564166 -7.675321),48.77,25.04,699429,13.94,7.18,411256,36210,67.31,66.81,72.59,46.21,3391461,545746,26.3,906207,60.59,17361,59,1,89.0
9239,POINT (122.216753 -3.327064),30.89,41.65,462820,96.53,49.92,8057,687699,56.21,72.12,46.79,57.27,8818652,834157,52.18,102222,83.12,22574,27,0,2.49
9240,POINT (115.825455 -2.833342),38.99,96.54,768092,87.85,36.28,496729,804068,73.04,60.14,82.46,87.5,7248394,966979,56.16,168714,63.39,22677,52,0,29.82
9241,POINT (138.951253 -5.790827),66.83,38.86,303076,15.22,59.56,728435,208223,41.13,40.55,41.72,44.16,3328149,749826,41.81,118480,46.49,24146,69,2,33.87
9242,POINT (130.906702 -0.030804),85.13,34.52,856771,79.06,66.56,692260,748611,33.71,12.25,12.96,34.24,13019677,772836,59.67,544385,76.03,4607,64,1,40.18
9243,POINT (111.135727 -7.715231),90.18,87.47,706404,14.05,79.86,355628,323925,35.09,74.18,62.8,98.7,1322876,303316,98.02,460449,89.75,16423,45,5,40.07
9244,POINT (117.278444 3.725163),83.38,85.96,68336,56.15,94.26,617635,209085,5.22,3.24,1.64,3.37,1622524,667554,56.79,159898,80.36,18648,30,5,85.34
9245,POINT (116.520588 -2.513727),26.57,5.29,171366,66.9,92.41,693936,223081,54.46,54.88,24.45,1.96,7789305,673487,57.27,457904,76.06,23263,52,2,47.71
9246,POINT (105.062664 -2.678565),55.96,52.05,714686,9.3,85.58,419375,860505,36.06,28.72,64.5,26.48,6668009,651253,67.97,113923,98.56,20498,62,3,80.17
9247,POINT (133.471859 -1.023764),66.36,32.32,974321,55.83,11.97,498738,504854,73.13,96.34,83.29,98.08,12446879,930203,86.93,686761,76.35,15328,40,1,95.8
9248,POINT (112.107662 -2.075438),71.79,12.41,874088,87.47,1.56,946604,812108,4.08,44.26,93.07,14.38,13236689,38004,69.66,810660,48.18,20688,41,5,94.71
9249,POINT (124.114799 -8.497009),47.53,3.72,156231,62.95,53.07,681221,546903,91.22,50.86,62.89,64.63,9116001,633603,49.5,90991,32.42,16386,69,1,64.47
9250,POINT (102.035044 1.218810),15.35,19.49,889784,98.84,12.18,91371,310633,37.43,67.22,58.95,82.21,2335477,290542,82.27,365172,18.56,12758,76,1,3.94
9251,POINT (111.175227 -0.289503),97.24,35.68,260173,72.73,16.45,53487,806731,83.29,3.69,78.65,63.98,4509287,18249,41.75,491800,44.82,22147,25,3,83.71
9252,POINT (137.540255 -3.747957),36.6,77.4,607730,53.45,38.18,329840,932767,68.74,31.33,4.8,72.43,13879118,344086,9.33,991684,72.09,12935,21,5,79.72
9253,POINT (130.496611 -0.819623),24.99,37.3,413183,10.56,69.64,209829,479077,34.44,26.58,71.67,0.14,12186155,37993,46.33,24027,73.47,22951,77,3,49.78
9254,POINT (139.506085 -6.930064),48.48,35.36,564103,18.43,25.06,986532,160258,13.15,86.65,33.59,59.66,3571360,101590,97.59,264807,69.02,5345,28,5,15.96
9255,POINT (138.269259 -2.522785),32.57,56.62,753200,24.82,98.9,536455,798649,38.13,9.89,68.21,95.35,7819224,650356,39.22,408685,37.94,19322,42,0,51.11
9256,POINT (121.795547 -10.530092),32.24,26.95,371635,46.94,20.67,472347,167736,39.01,72.12,27.88,84.9,7739731,320723,5.15,207641,54.77,17255,73,0,38.92
9257,POINT (113.171181 -7.911931),8.94,67.86,148576,92.05,1.89,399547,574569,36.71,55.19,57.16,32.33,4362247,506614,33.76,115836,93.14,23860,49,3,67.57
9258,POINT (100.435905 1.620506),72.98,18.58,369247,78.17,62.05,844604,718421,83.11,6.87,81.23,63.99,11955909,209123,42.51,822638,67.08,21225,24,1,80.46
9259,POINT (120.119044 -4.674982),23.85,25.16,937987,16.22,44.13,432981,55911,40.52,27.2,94.72,56.47,1030369,846304,68.67,219696,35.36,2350,40,4,49.69
9260,POINT (103.739564 -4.214475),59.29,32.07,632022,41.63,84.99,496320,36822,26.91,72.68,36.11,12.06,11349457,264002,93.79,272207,73.52,9204,28,3,76.84
9261,POINT (114.398001 -7.966585),54.28,99.03,600199,36.06,31.95,450767,645523,21.73,97.38,63.99,98.32,5084459,574171,51.39,571787,12.69,23826,71,0,44.99
9262,POINT (136.102231 -3.806671),33.75,19.14,399296,84.25,77.99,748161,607098,17.91,16.62,95.78,10.35,2379486,28200,72.54,536363,54.58,1469,29,1,11.23
9263,POINT (103.777500 -1.430115),3.41,37.83,255913,86.36,39.79,255757,434246,51.29,58.47,64.89,53.13,10626771,473074,6.6,736735,41.72,16881,41,5,10.53
9264,POINT (132.141969 -0.853311),87.18,73.46,459808,5.75,21.62,306927,236452,48.92,44.65,51.86,88.73,8917283,624324,56.41,611875,66.45,5739,39,4,40.57
9265,POINT (112.073114 -8.110127),70.89,38.84,326323,91.78,48.69,105549,958225,65.63,96.18,42.24,52.26,10369517,30751,71.35,932056,88.02,24854,36,2,62.52
9266,POINT (117.690721 2.127038),33.57,100.0,858031,33.93,28.37,453523,734551,77.07,28.7,71.47,70.39,1790731,201077,78.49,679773,45.04,23887,64,5,12.02
9267,POINT (139.590582 -5.430530),41.87,93.49,346526,15.11,49.29,508547,682456,18.22,40.99,7.66,56.63,13547166,877766,57.61,695007,98.17,2287,20,4,61.84
9268,POINT (119.934180 -5.476135),10.52,33.02,146415,72.91,35.9,436356,346559,55.05,56.54,51.51,94.95,9741421,435232,12.69,936094,39.17,14858,47,1,69.35
9269,POINT (113.732820 -3.182234),2.96,42.52,513020,26.23,35.16,623196,138912,67.51,99.65,37.04,22.98,5644356,649465,40.62,264023,0.11,16072,62,3,32.98
9270,POINT (111.971676 0.512423),83.64,0.06,137992,86.63,69.85,714630,21581,33.66,29.09,16.63,71.4,4996445,300664,34.57,728993,56.66,8782,62,2,16.63
9271,POINT (97.475101 3.266813),28.95,85.54,426915,23.46,9.39,671613,974568,92.8,42.19,69.36,93.49,9092197,288065,69.73,469627,27.01,18786,55,5,53.48
9272,POINT (115.869677 -3.328885),14.25,45.57,631275,10.59,33.77,963395,300704,96.27,91.13,97.23,77.82,3645516,322261,36.99,990239,45.47,6986,61,1,79.39
9273,POINT (111.772927 -2.528149),65.99,17.24,270462,53.12,18.95,606929,138415,67.16,89.2,21.03,6.17,13806387,469377,82.24,973420,93.22,5862,34,3,86.5
9274,POINT (102.862320 -0.657765),1.69,82.46,651470,21.82,99.76,171138,729848,4.24,38.6,76.16,46.33,9338152,846578,98.91,140189,0.87,13277,64,1,70.48
9275,POINT (136.635452 -3.579707),76.39,93.16,572799,64.88,0.7,115330,915771,74.7,3.86,28.36,23.83,13069905,690515,5.77,757911,25.63,4275,23,1,3.7
9276,POINT (110.384288 -2.362274),63.44,71.84,868642,85.4,73.89,10149,130853,20.19,96.93,76.12,24.66,14350524,760654,21.3,854033,85.67,7667,31,4,17.55
9277,POINT (138.570800 -3.925711),57.01,69.22,587638,35.32,87.89,58353,100941,15.33,5.33,66.33,55.48,14659038,782248,71.7,631302,82.93,7473,51,4,71.71
9278,POINT (120.455329 -2.616438),83.0,6.31,354295,27.29,14.7,125148,650073,75.69,90.47,62.07,99.16,3045852,136413,25.35,108851,26.87,15329,53,1,35.13
9279,POINT (99.999441 2.181910),77.3,32.86,157732,90.08,71.69,565147,780949,31.55,12.54,25.85,84.09,3602979,100263,4.41,94639,83.89,1936,57,0,75.42
9280,POINT (98.222646 3.709201),23.47,19.97,290932,43.4,5.36,872677,55981,47.68,94.62,14.58,95.51,14470484,436900,99.13,92919,15.52,7925,48,2,33.39
