id,geom,People Density,Unemployment Rate,Population,Water Access,Households,Average Age,Vehicle Ownership,Health Facilities,Literacy Rate,Mortality,Electricity Access,Birth Rate,Death Rate,Internet Access,Migration,Employment Rate,Income per Capita,Family Identity Card,Registered Residents,School Enrollment
4655,POINT (140.222136 37.889930),8805,14.06,612470,3.37,666624,77,0,884614,21.27,41.05,85.31,63.61,97.3,51.5,47.8,42.66,2151440,819275,720568,57.71
4656,POINT (140.744323 40.005236),6027,89.54,78063,7.5,311836,54,2,844249,50.93,52.18,71.39,42.24,80.02,81.96,37.56,40.78,9777675,691468,179602,53.27
4657,POINT (142.353530 44.630140),16514,70.0,799925,30.84,259907,77,5,643323,15.16,42.2,1.75,10.12,91.64,97.85,67.45,74.89,2967448,280473,150198,15.27
4658,POINT (131.246844 31.823921),1538,76.75,592140,52.5,420247,76,5,405902,80.03,71.2,24.65,18.21,91.08,82.43,33.02,92.1,11104822,365319,876251,56.47
4659,POINT (129.892139 32.808397),20826,94.04,24199,5.02,995255,29,0,19246,29.43,86.24,16.83,61.79,42.94,43.22,37.97,12.27,9355840,941449,805715,34.25
4660,POINT (134.713873 34.284566),21763,48.64,756252,92.88,447554,28,3,443095,31.67,84.31,57.3,49.59,10.71,30.23,77.66,6.24,4764592,916011,201123,96.56
4661,POINT (143.432607 44.161978),3184,37.61,936037,77.59,585003,58,3,70716,83.75,1.53,31.94,23.04,7.12,83.69,17.6,69.18,12429512,258762,3944,46.76
4662,POINT (130.172215 33.276158),13588,61.69,293722,37.45,923745,60,5,86057,18.51,32.16,72.99,13.1,42.73,7.66,73.52,36.36,10996740,273856,539795,35.42
4663,POINT (139.901238 37.017909),3463,56.45,398800,31.66,209274,51,5,292326,31.39,10.9,67.62,56.6,31.59,38.95,20.75,19.5,3260678,727665,734625,41.65
4664,POINT (139.353328 37.461945),7094,2.26,879277,75.09,153341,40,5,233202,14.67,54.93,9.85,4.06,75.53,57.04,45.45,80.39,4579889,737485,95271,23.7
4665,POINT (133.978004 33.623301),13583,71.51,515629,21.1,288307,41,0,986139,59.64,46.66,47.33,70.87,69.17,6.99,49.85,42.64,14620141,624748,942073,12.65
4666,POINT (139.012548 35.379237),14638,3.92,865393,13.24,401880,28,0,888913,51.27,66.65,83.5,26.46,20.87,21.79,55.02,56.58,3552698,29623,812817,5.5
4667,POINT (134.152488 35.096441),14682,30.48,820555,45.73,139483,73,5,820531,3.41,11.2,57.3,80.82,32.22,53.66,45.19,98.11,2731002,105547,308448,10.26
4668,POINT (139.132530 37.085149),12534,70.62,427863,44.23,743430,63,5,233802,50.67,22.49,80.01,8.32,62.92,24.72,54.08,76.54,6018586,639256,140544,85.51
4669,POINT (140.262644 35.780812),7933,88.47,665726,61.05,374016,22,2,984483,45.77,48.21,63.89,89.22,81.36,21.52,39.81,77.61,4610651,688627,28964,9.0
4670,POINT (136.983061 35.377647),4085,85.55,89206,14.44,73328,65,4,890746,99.63,58.41,54.73,29.53,45.09,2.35,92.97,91.5,11778760,194666,908512,98.28
4671,POINT (145.171495 44.120357),2746,57.68,239069,62.44,562643,32,3,900166,76.21,49.35,79.56,74.1,5.65,99.45,25.37,72.76,9719106,469600,895317,14.64
4672,POINT (134.365945 33.617840),12404,37.73,99236,47.65,975862,72,1,377842,94.39,31.89,64.16,41.76,16.3,76.91,47.33,5.26,8637820,849635,381574,87.66
4673,POINT (140.774091 42.956912),7611,96.98,887271,58.65,362713,20,0,766054,3.61,14.64,58.13,57.76,3.42,55.06,53.86,39.95,3971949,327046,791110,63.07
4674,POINT (129.105180 32.952590),3782,15.6,30993,57.99,960347,37,1,803438,79.81,49.59,92.6,20.38,26.29,29.14,25.77,93.46,13539377,669837,719024,13.85
4675,POINT (141.118701 43.124292),1180,52.54,64162,60.94,311537,21,5,928397,29.72,53.11,13.16,81.61,10.52,50.23,33.16,14.06,6209255,168410,876758,60.25
4676,POINT (143.913463 43.319902),15842,31.27,588341,43.82,298840,57,3,404374,42.58,99.68,3.38,78.56,3.29,58.75,61.11,86.09,12286936,284051,458345,29.12
4677,POINT (138.787504 36.238418),6216,96.01,111672,40.53,226335,43,5,477853,8.82,39.91,53.47,12.09,3.35,40.99,46.2,29.47,7242599,278982,154664,70.05
4678,POINT (132.512141 33.006373),9665,58.36,359002,75.59,886029,62,5,139789,67.73,95.47,63.68,12.93,39.61,82.06,36.37,0.31,2828826,279199,789213,13.02
4679,POINT (131.387306 31.575955),22182,81.3,404024,54.94,965516,67,5,435546,7.56,96.96,95.17,99.96,99.03,13.96,34.43,75.9,7261057,654559,783566,51.31
4680,POINT (142.050001 45.198455),18151,66.07,284389,96.04,189843,75,0,104550,95.65,81.56,70.66,89.98,75.03,59.58,20.85,17.36,3585483,41344,261281,20.31
4681,POINT (133.133234 35.056734),16850,88.38,154956,39.64,305162,20,4,199429,52.35,56.11,14.11,15.13,17.01,66.49,89.94,15.99,12362357,954039,848948,77.02
4682,POINT (134.633539 35.474776),17940,27.89,255855,55.03,750104,28,3,519822,47.32,5.94,57.74,15.63,53.7,39.23,30.27,44.02,2933190,371839,780753,95.22
4683,POINT (136.911353 36.485996),17407,13.67,293427,54.5,698868,41,2,681000,57.79,70.0,3.39,38.62,55.48,75.62,15.59,56.79,6151983,889574,702146,49.63
4684,POINT (137.429879 35.027844),21882,1.74,809824,63.7,365415,31,4,578602,58.3,55.02,90.1,42.82,34.72,31.78,35.84,36.95,14676291,74360,412001,7.49
4685,POINT (139.421990 36.635877),6294,45.96,49252,57.73,691667,21,1,607713,85.02,21.1,22.49,98.96,82.87,8.04,0.71,54.09,11291722,125023,163789,23.94
4686,POINT (140.430305 41.558010),11143,80.85,652694,66.49,241796,66,2,296014,16.77,27.27,88.63,36.23,86.56,48.03,0.65,44.21,12998302,584792,115954,27.42
4687,POINT (140.395051 38.073416),2044,73.04,404844,81.81,100194,22,3,53341,72.42,15.47,78.83,79.36,27.47,24.46,97.1,0.9,12229598,335596,38292,29.71
4688,POINT (131.216861 32.494443),11803,47.5,915230,17.7,205746,72,3,485738,45.26,4.3,59.5,6.38,48.0,82.04,35.2,93.27,12641450,434335,657018,95.77
4689,POINT (140.854146 37.290585),20550,48.74,57888,82.5,232691,25,5,961775,1.21,37.63,83.67,89.94,55.29,50.63,39.23,94.32,1227426,901173,238563,95.97
4690,POINT (144.011337 43.498710),6994,94.51,596831,65.34,210079,30,1,944425,45.07,24.17,25.99,50.43,28.21,56.23,45.54,21.7,8448332,890983,492868,92.51
4691,POINT (140.959357 38.222186),1988,84.41,540313,17.15,757953,27,5,815289,87.21,81.68,28.73,14.07,92.96,46.74,1.17,39.75,9212367,936060,312396,77.34
4692,POINT (140.016272 35.106409),22529,31.14,409187,45.45,492957,35,3,881560,70.96,29.73,80.3,37.55,65.65,7.81,0.66,36.06,2192603,809010,581692,46.59
4693,POINT (140.501954 39.287047),24707,93.07,493621,86.76,575579,73,3,383398,66.78,33.89,77.18,16.84,61.13,5.94,51.42,4.53,13047455,101268,967111,33.95
4694,POINT (142.950963 44.377464),16538,91.24,282115,33.98,528087,69,1,246585,22.7,84.57,88.61,74.77,67.15,98.99,35.79,75.98,3351975,837516,949065,71.5
4695,POINT (141.263565 42.632245),5200,4.95,712664,58.05,268745,70,1,60972,64.32,29.88,29.4,39.03,14.01,60.1,66.41,32.27,14246371,302790,719982,65.31
4696,POINT (137.921644 37.013901),24821,44.29,24319,24.89,160756,42,1,996684,3.3,97.87,71.35,61.38,86.15,45.59,58.84,22.19,13615432,364598,795077,84.74
4697,POINT (134.662949 35.399251),2554,2.68,810093,59.38,998815,22,1,966091,8.23,1.35,28.67,88.24,61.75,66.06,34.38,29.64,14583397,260686,796333,9.37
4698,POINT (143.240997 42.878293),1338,94.38,765118,29.19,125181,61,5,581778,96.22,81.33,32.59,23.64,30.95,61.06,80.74,84.09,1368681,31982,905282,25.54
4699,POINT (131.365886 31.852539),15252,6.18,112553,65.55,948491,39,2,141211,76.38,46.78,44.41,97.35,14.91,76.38,6.7,0.99,13709668,825473,759945,38.57
4700,POINT (140.000677 36.578269),24044,60.82,490911,12.7,833984,45,4,504439,17.88,37.86,4.45,37.9,92.01,25.55,11.89,41.1,11911307,504267,152647,68.7
4701,POINT (140.220802 39.386623),14985,93.09,295148,44.94,248008,46,0,651524,32.88,52.59,49.28,60.33,51.14,36.19,7.46,16.18,8059533,81758,746478,38.03
4702,POINT (133.036721 34.467344),23416,73.69,321721,27.08,828907,69,2,203843,50.99,52.81,80.16,40.52,45.39,32.14,80.37,95.22,14442467,626987,370512,54.28
4703,POINT (130.496067 33.237355),15693,56.15,785077,57.5,680896,80,0,570116,98.06,60.74,47.88,95.94,54.32,19.9,64.83,84.67,3069981,486901,995928,58.26
4704,POINT (131.030155 32.167609),11163,27.83,193998,19.69,975365,62,0,116035,84.43,75.84,77.42,19.7,4.33,3.25,49.18,82.51,7037792,601804,905435,28.94
4705,POINT (132.657466 33.686530),5254,66.75,449277,52.1,294599,55,4,110836,49.36,61.78,99.02,29.96,34.58,28.78,15.41,3.12,4724999,499015,690961,8.24
4706,POINT (138.009715 37.018281),13922,68.33,827239,10.46,86885,39,3,458467,64.02,90.51,78.65,32.56,42.08,49.22,53.12,32.7,5879830,409806,736743,64.26
4707,POINT (145.187368 44.167713),9728,51.42,268554,29.11,341413,59,3,635492,16.07,93.99,34.97,43.46,1.87,68.87,32.29,39.55,3363417,769051,90320,56.87
4708,POINT (135.755636 34.839406),13529,43.5,851309,26.06,939548,77,5,659569,27.05,72.53,3.35,63.41,22.18,23.4,30.14,81.68,1928318,63909,104692,23.67
4709,POINT (140.148555 38.796404),16766,5.62,787164,77.75,952020,27,2,35699,56.38,67.68,88.04,81.72,16.42,66.99,49.9,4.71,8112772,757312,515488,5.74
4710,POINT (138.500911 36.489381),24408,22.42,452770,40.3,517827,46,1,907833,40.21,51.15,24.75,86.09,67.71,88.79,89.07,97.43,3455587,495340,883009,62.4
4711,POINT (142.949339 44.383790),7669,56.47,269831,20.57,171234,36,4,28543,70.16,37.35,61.26,85.0,44.43,80.14,59.02,44.13,12589971,188345,659167,16.07
4712,POINT (142.082884 44.254182),11965,85.9,688019,27.0,731081,70,0,117161,0.21,72.82,54.71,98.02,59.2,47.66,71.7,83.57,10572824,503512,958648,76.59
4713,POINT (140.795205 39.008049),4711,15.1,392480,91.42,321062,54,4,560374,9.58,88.45,36.07,88.4,55.43,83.25,3.16,52.95,13302356,511478,477773,19.28
4714,POINT (139.853812 37.509527),13418,39.87,732194,66.22,7668,39,3,430495,26.83,94.24,69.89,99.87,60.09,55.76,3.31,87.92,8565296,820874,16511,73.57
4715,POINT (140.115843 38.404979),5383,85.23,928723,64.22,936478,47,3,964406,93.95,75.25,17.99,41.43,7.61,96.77,69.29,26.77,14615915,955849,867415,37.29
4716,POINT (130.695703 32.446811),14814,35.75,296148,60.53,759750,55,0,323204,95.39,11.08,55.03,41.13,75.2,43.78,77.42,79.34,6127675,167018,427268,4.58
4717,POINT (140.092266 36.110625),21731,50.2,3379,21.75,121985,75,0,55746,13.3,65.57,32.68,28.36,16.82,96.03,47.38,92.23,10035560,826235,333704,90.6
4718,POINT (131.166050 32.556800),21033,75.89,948548,0.91,31747,21,2,547098,55.58,40.11,16.36,68.88,28.89,33.46,7.26,41.26,11489231,848933,418384,35.45
4719,POINT (143.660741 44.028175),24091,89.58,814592,55.37,420937,72,5,315364,19.72,66.32,11.01,42.74,43.58,83.49,38.39,53.64,3425044,455295,666891,19.52
4720,POINT (141.048040 40.330024),7318,12.33,347089,75.26,78120,68,1,953185,18.38,70.88,20.16,62.84,17.03,41.5,51.4,53.21,5518919,23024,685743,56.92
4721,POINT (140.428108 39.546505),17497,3.73,341530,13.46,703803,47,5,202820,63.54,75.89,72.81,88.46,67.6,15.13,33.21,40.35,8810402,863153,35259,13.35
4722,POINT (142.801631 42.961775),3936,18.08,72505,38.29,210702,29,0,569530,89.77,58.6,12.1,2.76,35.42,94.19,75.69,10.64,6626828,760710,894507,62.32
4723,POINT (131.676942 34.267968),9912,35.78,836612,10.04,490841,25,5,924333,74.07,59.62,21.39,97.3,4.54,22.22,90.13,58.7,13274298,152918,50865,19.12
4724,POINT (137.378208 34.720330),23766,55.52,151991,84.52,366515,76,4,763122,73.63,45.81,7.51,7.42,23.72,93.29,70.65,43.89,11726727,250329,60392,87.85
4725,POINT (132.749745 35.378997),6675,78.01,322018,73.96,506372,46,2,869528,42.05,34.88,83.92,83.59,2.57,26.83,18.71,62.17,11792506,515442,838064,89.92
4726,POINT (133.509802 33.509019),10530,26.52,980633,77.02,760147,79,3,855591,5.31,74.19,85.85,5.36,41.74,49.19,82.13,73.14,13941279,351701,88113,22.47
4727,POINT (141.361370 39.588526),7656,72.76,97310,80.12,167152,33,1,43186,97.1,54.47,33.48,14.7,9.49,55.3,34.0,64.55,3538581,766964,899574,34.03
4728,POINT (140.902906 42.540410),1403,1.77,116901,40.59,229904,77,3,995237,42.57,11.95,55.73,51.61,82.78,19.45,30.89,46.21,1436486,710000,892344,42.18
4729,POINT (131.821016 34.632691),22208,91.32,994477,66.74,653659,33,4,194874,70.16,15.4,50.98,52.92,53.78,90.74,59.48,44.27,13071899,937235,655118,2.45
4730,POINT (139.342397 35.860319),11944,87.54,527925,2.37,409635,77,0,165515,31.1,73.1,86.83,93.58,7.75,99.99,25.65,58.9,7362431,179037,273179,85.15
4731,POINT (140.427264 40.871615),6167,1.35,822623,99.97,618681,65,3,22970,83.16,4.88,78.85,15.86,40.93,48.46,10.11,51.61,4062356,835833,714965,52.6
4732,POINT (137.658627 36.758093),10601,69.59,767259,73.12,180479,28,1,927894,15.58,86.32,35.8,81.86,13.22,27.88,91.58,2.51,2699561,154606,525032,87.93
4733,POINT (140.330627 35.243256),10736,23.38,496507,80.33,66188,46,3,212599,78.78,77.37,78.79,86.83,31.0,14.67,62.42,19.52,5420073,792084,667826,84.7
4734,POINT (143.601768 43.048032),10282,76.5,330759,44.31,457587,28,0,69341,60.47,35.26,62.84,89.97,87.11,36.57,95.91,85.2,14726200,676183,881505,40.91
4735,POINT (129.930639 33.438516),15754,22.73,302119,39.74,767054,27,3,240190,32.56,99.07,9.17,7.08,3.7,18.08,5.91,93.2,6553697,260275,791182,7.67
4736,POINT (141.219858 42.951274),12300,46.08,75703,37.76,422516,73,3,672243,54.16,69.98,70.63,50.33,82.81,93.95,40.65,6.44,7085576,799672,467765,78.01
4737,POINT (131.089401 33.439826),23564,22.67,49632,97.11,248106,67,3,91997,21.31,87.65,26.68,57.05,77.37,44.03,88.98,47.23,3559924,963623,879299,25.2
4738,POINT (136.364572 34.570758),5506,88.36,656739,49.66,455689,65,0,810223,49.39,99.58,59.12,61.26,12.55,38.54,42.91,84.76,9246835,685905,647588,1.37
4739,POINT (138.973397 37.188338),17164,41.83,466275,26.34,861118,25,3,60640,10.94,38.63,70.27,23.7,68.68,96.01,45.76,6.41,2142590,694641,23679,14.13
4740,POINT (136.149667 34.432864),16944,71.65,207389,52.98,438171,66,0,533638,52.68,61.91,1.97,10.38,13.53,53.4,30.48,75.33,14270037,876507,666111,78.22
4741,POINT (139.599371 37.785181),21408,97.9,180221,31.52,902269,74,3,879333,86.56,22.29,97.12,75.1,54.07,31.01,98.61,24.53,9572209,820925,593447,94.15
4742,POINT (133.455099 35.208395),18435,63.11,386043,5.25,439924,24,2,539153,91.76,97.71,5.36,23.53,28.95,94.98,28.88,76.6,11919959,189420,426134,91.52
4743,POINT (141.475112 40.555540),15196,66.11,990523,95.56,341820,29,3,923866,11.56,56.17,75.69,62.34,22.75,28.84,34.5,62.68,3449090,9826,181972,57.25
4744,POINT (141.739488 44.087606),13146,7.56,486273,42.77,454298,57,4,143758,45.39,47.09,40.15,67.04,2.7,45.98,62.37,83.64,11074083,578436,32843,19.45
4745,POINT (138.866257 36.052687),8727,13.6,386676,37.29,137253,74,1,191715,86.22,95.71,35.03,50.29,70.84,21.69,65.42,43.64,1207328,934212,922910,2.17
4746,POINT (140.566595 40.042319),7724,16.27,889357,59.44,967000,66,1,698318,46.18,7.82,42.0,92.1,59.3,4.66,83.75,81.22,14824152,824770,990869,91.32
4747,POINT (130.460363 30.296263),22071,49.0,284558,2.52,577888,79,5,543701,22.0,31.6,2.91,90.08,35.71,41.47,44.6,9.04,5139959,304148,846288,55.65
4748,POINT (133.736935 33.752486),1753,29.54,630507,73.19,477037,23,0,262669,67.39,34.74,29.58,96.77,64.76,4.04,88.2,13.64,13950307,208983,31173,75.17
4749,POINT (138.725293 36.973204),7958,45.19,295307,26.44,231615,73,3,424783,36.38,21.09,78.12,12.21,33.67,30.62,33.67,24.6,7102839,21148,787640,13.02
4750,POINT (140.358895 38.483394),13156,79.1,84919,92.59,445949,72,3,923523,18.07,71.83,82.29,41.36,78.82,73.45,56.4,54.4,8675804,723457,972924,55.5
4751,POINT (140.670831 37.001627),9160,22.47,504737,82.15,906329,61,2,973787,77.27,99.16,73.94,57.78,85.05,72.24,12.54,95.83,8241356,505666,449675,71.94
4752,POINT (131.806916 34.097293),19401,2.97,805011,26.95,229470,50,5,918664,99.98,28.83,41.4,52.33,6.51,11.22,78.18,21.19,6099025,776074,810634,97.88
4753,POINT (143.095813 43.314179),24256,98.79,212682,88.38,570246,51,3,437381,41.43,20.49,27.27,19.07,34.48,55.28,55.28,89.76,1604498,652180,604429,23.98
4754,POINT (131.583960 34.446217),19527,36.57,880950,60.28,821911,20,5,620625,63.25,45.71,85.47,25.13,37.9,39.44,65.26,47.54,8891214,604181,208542,28.18
4755,POINT (135.033427 34.717521),7776,51.59,970798,6.25,752786,48,3,437358,19.34,94.61,93.11,10.8,19.19,57.08,63.02,66.0,4381735,934430,606885,84.19
4756,POINT (143.614678 43.078595),17633,37.27,680277,40.06,46397,45,5,505848,77.15,99.45,15.1,27.33,73.41,28.8,72.3,14.7,6381918,677266,315231,57.85
4757,POINT (134.996701 35.608967),6013,48.04,898370,75.13,830922,66,2,248003,49.25,50.24,23.92,99.4,73.61,37.7,30.42,86.58,14888284,362028,975589,13.17
4758,POINT (134.819061 34.274718),7557,78.09,463071,75.43,408948,46,2,336959,41.66,38.98,90.28,61.57,31.43,94.2,18.68,2.16,13101624,280192,418482,53.4
4759,POINT (132.747046 35.374680),4984,75.05,445312,28.44,180110,70,2,89219,49.4,16.65,59.6,65.48,39.35,88.5,99.38,75.46,1882635,256359,406012,84.77
4760,POINT (143.059686 43.514270),8170,59.43,442689,78.89,439567,65,2,555059,46.55,77.02,54.67,40.61,27.49,2.25,74.85,51.9,9095450,801909,781307,73.38
4761,POINT (141.197173 38.992938),10727,97.37,42026,14.32,912328,40,2,454989,30.16,20.55,52.72,60.1,76.0,49.81,80.66,60.98,6867449,180533,652686,98.55
4762,POINT (140.381398 35.755649),8414,41.15,712349,10.84,752467,61,3,394674,55.08,88.14,56.58,76.94,39.14,55.83,13.64,36.68,14033735,506973,517425,59.79
4763,POINT (144.522624 43.472416),21686,11.29,305115,42.27,291247,51,1,119170,23.6,12.44,88.01,91.04,55.46,24.85,57.64,94.74,13343306,135902,519226,57.9
4764,POINT (139.953467 35.243141),17287,36.72,475432,69.91,369933,50,5,914577,88.77,11.29,71.87,2.16,85.16,46.34,99.72,44.07,4748148,73121,393857,57.81
4765,POINT (137.873967 36.665784),19634,6.57,442702,45.36,850934,70,5,315888,16.33,23.0,68.6,23.52,32.33,38.11,51.18,92.63,7054108,248465,696133,59.03
4766,POINT (137.262095 35.148623),16996,62.7,158234,58.19,854400,24,3,531302,62.29,2.28,5.04,82.94,75.37,85.89,84.5,41.12,4205004,876395,669520,38.42
4767,POINT (144.530816 43.816462),10604,24.57,437683,5.57,499514,24,2,968862,21.85,76.29,88.0,68.46,22.79,1.0,86.97,39.79,1670784,232630,501320,91.12
4768,POINT (140.790877 38.195498),14109,56.09,373078,15.86,512351,38,3,160848,38.52,37.98,34.58,89.6,11.53,27.33,16.12,69.72,9377130,476083,279683,50.31
4769,POINT (139.147125 35.836070),13096,25.67,420992,68.47,930519,53,1,134646,93.8,31.82,60.39,0.03,15.68,20.76,98.43,97.25,3749750,537860,63594,56.08
4770,POINT (140.316674 39.214759),20303,59.95,361593,39.54,432795,26,3,643778,62.89,71.25,84.32,82.16,33.1,4.87,18.06,6.49,13022503,508895,743860,97.81
4771,POINT (140.877631 39.737044),18478,55.12,478272,74.33,383481,76,2,496315,3.86,60.7,0.62,37.52,96.28,76.47,65.28,93.79,5423130,609643,321611,47.76
4772,POINT (130.922298 33.130261),20975,2.69,487865,58.39,684816,72,2,526285,34.43,49.18,19.18,90.05,18.75,35.7,61.5,97.57,8295102,756970,920919,42.81
4773,POINT (134.220998 33.515992),12776,23.9,60966,80.84,743231,25,4,922329,98.48,79.41,57.99,98.06,77.57,39.53,66.08,9.02,1891794,934084,132869,55.73
4774,POINT (140.914957 39.255462),7489,40.96,848614,58.27,176931,52,2,913280,62.28,21.7,33.41,34.27,95.72,21.68,25.78,74.08,2774050,356786,129642,9.55
4775,POINT (144.095928 43.080499),9081,89.35,787563,29.22,691907,25,2,663240,44.32,21.04,22.03,43.36,29.83,37.04,58.65,10.39,10235580,765151,79243,10.91
4776,POINT (133.713934 34.027261),24471,6.52,751968,44.56,805303,24,5,921009,36.59,43.91,63.48,80.13,87.07,94.15,13.74,21.51,1951076,648059,900812,75.27
4777,POINT (139.430849 35.602657),24936,94.54,423164,14.11,765761,80,4,272382,85.31,48.05,40.71,81.78,83.42,86.49,20.03,86.9,9163588,144586,116091,59.92
4778,POINT (138.263464 36.143081),3470,91.37,394919,45.62,133053,33,4,620281,93.69,58.28,80.72,25.13,79.79,55.77,40.84,98.65,2527935,506512,897829,25.49
4779,POINT (130.465980 31.500662),22749,0.77,507060,14.24,118485,65,4,595387,37.14,15.35,44.91,64.4,76.06,92.34,36.2,49.56,3786043,100058,137957,47.9
4780,POINT (141.041135 42.924868),5229,58.41,403752,33.01,354184,65,5,395688,16.47,35.93,40.93,79.64,68.41,88.39,79.06,78.33,6900538,252432,260521,20.28
4781,POINT (130.410797 33.604309),14104,5.22,452626,37.44,442833,36,3,684123,94.5,88.82,39.17,68.29,68.73,41.34,22.71,46.92,13894505,559997,658742,33.22
4782,POINT (140.597889 36.008821),12998,7.15,98768,30.69,824030,46,5,318146,39.57,36.21,27.15,85.74,36.9,85.4,52.0,45.38,4797735,366992,991528,37.0
4783,POINT (138.486281 35.302254),11366,96.39,83449,50.07,216548,71,4,410420,9.31,16.67,60.12,99.0,78.72,38.29,93.9,2.91,8214845,374875,739057,48.86
4784,POINT (141.537323 39.841327),20202,70.8,344410,17.22,16812,39,0,875399,97.84,71.47,43.88,56.87,25.98,27.54,64.48,34.48,5144975,334449,520749,24.3
4785,POINT (136.892788 36.465306),3303,92.19,643780,2.24,790954,75,4,815742,35.17,14.69,44.65,56.34,70.04,84.14,30.91,98.88,1189419,144199,543790,38.01
4786,POINT (135.849157 34.877516),2224,83.02,447810,23.7,771851,79,1,996224,50.91,37.86,84.56,14.12,25.42,89.42,70.73,65.77,14062416,933503,819177,42.09
4787,POINT (139.481429 38.396514),10951,91.43,489760,93.41,673414,34,2,486939,70.91,39.63,75.65,30.45,35.25,56.08,43.36,70.77,5772585,947525,861525,58.38
4788,POINT (139.478551 37.351201),3320,88.06,786096,99.26,887393,37,4,443125,10.16,12.6,87.15,77.66,79.1,85.4,29.04,40.63,4131318,945066,322656,0.78
4789,POINT (137.554838 35.862842),16138,96.28,875474,54.54,53762,75,5,240133,17.39,58.02,31.85,46.81,41.33,32.35,5.23,94.1,14095754,647360,514264,83.88
4790,POINT (137.908585 36.745411),5874,18.21,256418,73.37,85208,33,3,741324,72.77,57.53,41.82,25.22,30.67,77.62,49.52,38.34,3563064,135454,292674,25.24
4791,POINT (132.720869 34.827207),16420,21.71,400533,19.48,199794,49,5,586726,41.48,83.93,4.72,9.41,64.03,29.59,82.33,40.71,9256802,976829,503158,2.9
4792,POINT (140.732329 38.931563),23304,3.82,464896,69.13,332329,58,5,91740,34.76,16.95,53.0,0.93,24.97,58.63,94.68,33.19,8490104,692214,698297,79.94
4793,POINT (144.953738 43.670658),6609,47.5,9345,99.21,552940,80,4,415772,39.13,32.86,12.93,19.53,97.89,69.72,62.35,32.84,3681673,345101,75128,16.11
4794,POINT (133.232921 35.503289),4788,38.39,121957,46.92,680322,79,4,149886,57.71,3.34,30.61,13.18,41.22,13.19,99.25,9.29,3097778,994371,488853,32.13
4795,POINT (138.261132 36.580220),9352,95.91,290871,21.88,383921,21,0,254486,44.7,99.39,49.06,50.76,4.88,53.61,97.25,71.35,4594682,482712,331369,54.75
4796,POINT (140.096415 38.527409),4513,87.34,164509,73.9,260440,68,3,781427,13.77,14.1,38.45,67.75,6.07,59.17,61.94,90.84,7656753,560182,235438,97.17
4797,POINT (138.740540 35.495189),10772,37.34,73975,3.98,14775,39,1,170568,50.08,7.69,60.13,45.93,26.18,23.72,19.21,64.58,5104980,11870,60672,88.59
4798,POINT (135.689930 34.807810),19910,52.08,392076,3.74,814619,52,3,294568,12.17,32.59,81.4,54.02,52.07,27.23,29.33,20.59,11200045,310001,664497,43.25
4799,POINT (134.405030 35.139996),4235,76.99,452406,59.12,336500,77,4,614416,63.46,74.11,73.75,14.26,69.21,37.66,23.25,18.62,12189273,110415,208360,16.93
4800,POINT (139.439073 35.980236),22283,70.0,968594,6.72,288225,22,2,343253,9.47,76.82,98.83,53.73,3.07,59.16,5.74,59.65,5755577,869218,668371,28.76
4801,POINT (135.971203 35.221715),18194,18.6,107014,59.25,932552,61,2,569035,74.6,93.63,99.13,14.23,59.51,6.35,84.42,72.47,14020858,902986,743826,21.81
4802,POINT (139.066055 36.765332),7503,97.55,553708,43.35,746010,77,1,876470,28.63,66.79,23.81,84.21,62.26,30.78,94.97,22.6,10188392,38052,478626,70.31
4803,POINT (140.623467 41.991880),21722,93.21,297809,89.24,427230,56,2,848143,47.67,82.19,23.04,47.26,46.51,56.89,10.03,82.19,1180304,334746,649745,80.29
4804,POINT (139.916076 38.781867),24861,53.02,471316,81.74,21850,75,5,539733,5.09,34.74,71.56,57.74,12.66,98.87,96.8,32.91,2490279,689658,206393,87.97
4805,POINT (141.107360 38.524682),10572,47.62,865807,13.96,93302,31,5,142040,10.03,39.79,38.02,99.29,61.72,73.85,40.55,84.77,6743207,14711,894517,2.18
4806,POINT (136.044452 34.682141),21512,22.96,773476,69.76,24228,34,5,861256,44.7,58.12,52.55,73.17,12.91,7.41,61.88,55.33,8999643,237917,978084,61.39
4807,POINT (142.816782 42.570963),13490,95.88,817220,4.93,53276,67,5,805429,46.16,7.85,41.33,44.49,93.96,62.2,50.25,85.83,8207666,371595,175035,35.01
4808,POINT (141.040572 41.277265),24309,30.6,199727,29.11,549282,73,5,49271,5.58,28.26,23.35,14.85,99.12,67.91,77.09,65.64,14148191,653655,513526,22.3
4809,POINT (142.011627 44.930929),7485,21.4,279174,32.1,470747,69,3,225854,69.21,98.99,86.98,47.89,19.14,76.49,0.6,63.51,14225001,642316,274055,52.27
4810,POINT (140.920207 37.602947),14030,76.46,294666,29.92,509155,70,4,991691,29.96,60.17,80.29,76.58,62.37,48.05,55.37,44.1,1754045,236410,926546,67.31
4811,POINT (138.389542 36.032300),9310,24.84,304088,83.87,727625,36,0,726091,42.74,97.24,69.17,7.4,38.52,69.05,35.07,26.83,14067344,656553,534052,22.59
4812,POINT (142.592242 42.623190),8127,21.19,919394,96.79,403653,50,1,286649,76.75,83.73,6.23,89.86,22.66,58.4,5.84,97.67,8260582,498374,441932,65.53
4813,POINT (128.947512 27.747477),18105,25.32,30281,44.34,417240,42,0,22612,8.62,17.74,61.66,22.88,63.77,96.11,35.81,36.45,1693843,383250,364990,96.6
